country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Kazakhstan,KAZ,2001,6.5,
Kazakhstan,KAZ,2002,6.6,
Kazakhstan,KAZ,2003,7.1,
Kazakhstan,KAZ,2004,7.4,
Kazakhstan,KAZ,2005,7.3,
Kazakhstan,KAZ,2006,6.3,
Kazakhstan,KAZ,2007,5.0,
Kazakhstan,KAZ,2008,4.2,
Kazakhstan,KAZ,2009,3.8,
Kazakhstan,KAZ,2010,3.4,
Kazakhstan,KAZ,2011,3.0,
Kazakhstan,KAZ,2012,2.6,
Kazakhstan,KAZ,2013,2.5,
Kazakhstan,KAZ,2014,2.5,
Kazakhstan,KAZ,2015,2.5,
Kazakhstan,KAZ,2016,2.5,
Kazakhstan,KAZ,2017,2.5,0.5
Kazakhstan,KAZ,2018,2.5,0.5
Kazakhstan,KAZ,2019,2.5,0.5
Kazakhstan,KAZ,2020,2.5,0.5
Kazakhstan,KAZ,2021,2.5,0.5
Kazakhstan,KAZ,2022,2.5,0.6
Kazakhstan,KAZ,2023,2.5,0.6
